text,label,template
"Hello, do I need to fast before my blood test?",GREEN,en:do I need to fast before my blood test?
I'm on dialysis and I have a mild headache over the past week,YELLOW,en:I have a mild headache {t}
I've been peeing blood for a few days now,RED,en:I've been peeing blood {t}
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
"As a kidney patient, my face looks puffy over the past week",YELLOW,en:my face looks puffy {t}
I have some abdominal pain since yesterday,YELLOW,en:I have some abdominal pain {t}
"I have stage 3 kidney disease and I have a sudden severe headache, the worst one of my life for the last two days",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
I have CKD and my side hurts near where my kidney is over the past week,YELLOW,en:my side hurts near where my kidney is {t}
একটা প্রশ্ন ছিল - ভাত কতটুকু খাওয়া যাবে?,GREEN,bn:ভাত কতটুকু খাওয়া যাবে?
I had a kidney transplant last year and I've been urinating less than usual since yesterday,YELLOW,en:I've been urinating less than usual {t}
My doctor said I have reduced kidney function and I've been short of breath for the last two days,RED,en:I've been short of breath {t}
"As a kidney patient, my hands and feet feel swollen for a few days now",YELLOW,en:my hands and feet feel swollen {t}
দুই দিন ধরে বমি বমি ভাব লাগছে,YELLOW,bn:{t}বমি বমি ভাব লাগছে
"Good morning, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে কোমরে ব্যথা করছে",YELLOW,bn:{t}কোমরে ব্যথা করছে
"আসসালামু আলাইকুম, রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?",GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
I have CKD and I've been really itchy all over since last night,YELLOW,en:I've been really itchy all over {t}
"Hello, how much salt is safe for me per day?",GREEN,en:how much salt is safe for me per day?
I have stage 3 kidney disease and I have a mild fever for a few days now,YELLOW,en:I have a mild fever {t}
পরের ভিজিট কবে?,GREEN,bn:পরের ভিজিট কবে?
I have CKD and there's a metallic taste in my mouth since yesterday,YELLOW,en:there's a metallic taste in my mouth {t}
"Good morning, which foods are high in potassium that I should avoid?",GREEN,en:which foods are high in potassium that I should avoid?
I think I had a seizure over the past week,RED,en:I think I had a seizure {t}
"Since my kidney stone, I've had muscle cramps this morning",YELLOW,en:I've had muscle cramps {t}
"Please, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
I have CKD and I've been urinating less than usual this morning,YELLOW,en:I've been urinating less than usual {t}
I have CKD and I have a mild headache for the last two days,YELLOW,en:I have a mild headache {t}
"As a kidney patient, I have flank pain since this afternoon",YELLOW,en:I have flank pain {t}
I'm on dialysis and I passed out over the past week,RED,en:I passed out {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Hi, is the pharmacy open after 6 pm?",GREEN,en:is the pharmacy open after 6 pm?
"Since my kidney stone, I can't breathe properly for a few days now",RED,en:I can't breathe properly {t}
My legs are hugely swollen and now it's hard to lie flat for the last two days,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
I have CKD and there's blood when I pee since yesterday,RED,en:there's blood when I pee {t}
Quick question - when is my next follow-up scheduled?,GREEN,en:when is my next follow-up scheduled?
My heartbeat feels irregular and I'm very weak and dizzy since yesterday,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
How do I sign up for the patient portal?,GREEN,en:how do I sign up for the patient portal?
My eyes are puffy in the mornings since this afternoon,YELLOW,en:my eyes are puffy in the mornings {t}
My doctor said I have reduced kidney function and I have a dull ache in my kidney area for the last two days,YELLOW,en:I have a dull ache in my kidney area {t}
"As a kidney patient, I feel nauseous and have lost my appetite for a few days now",YELLOW,en:I feel nauseous and have lost my appetite {t}
My doctor said I have reduced kidney function and I feel severely confused since this afternoon,RED,en:I feel severely confused {t}
"I have a sudden severe headache, the worst one of my life this morning",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
ডায়ালাইসিসের সময় কখন?,GREEN,bn:ডায়ালাইসিসের সময় কখন?
"Since my kidney stone, my stomach has been hurting a little for a few days now",YELLOW,en:my stomach has been hurting a little {t}
"Hi, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
"Good morning, how do I sign up for the patient portal?",GREEN,en:how do I sign up for the patient portal?
I have stage 3 kidney disease and I think I had a seizure for the last two days,RED,en:I think I had a seizure {t}
"Hi, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
গতকাল থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে,RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
Hardly went to the bathroom today,YELLOW,en:hardly went to the bathroom today
"As a kidney patient, I have some abdominal pain for a few days now",YELLOW,en:I have some abdominal pain {t}
I'm on dialysis and I've been urinating less than usual since yesterday,YELLOW,en:I've been urinating less than usual {t}
"Hi, how much salt is safe for me per day?",GREEN,en:how much salt is safe for me per day?
"কিডনি রোগী হিসেবে বলছি, হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
একটা প্রশ্ন ছিল - গত ভিজিটে সাহায্যের জন্য ধন্যবাদ,GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
I had a kidney transplant last year and I've had trouble concentrating and feel foggy over the past week,YELLOW,en:I've had trouble concentrating and feel foggy {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
I have stage 3 kidney disease and I have some abdominal pain since this afternoon,YELLOW,en:I have some abdominal pain {t}
"Since my kidney stone, my urination has decreased for a few days now",YELLOW,en:my urination has decreased {t}
"As a kidney patient, I've been feeling very tired and weak since yesterday",YELLOW,en:I've been feeling very tired and weak {t}
I had a kidney transplant last year and my face looks puffy over the past week,YELLOW,en:my face looks puffy {t}
"As a kidney patient, my back is hurting near my kidneys over the past week",YELLOW,en:my back is hurting near my kidneys {t}
একটা প্রশ্ন ছিল - দিনে কতটুকু লবণ খাওয়া নিরাপদ?,GREEN,bn:দিনে কতটুকু লবণ খাওয়া নিরাপদ?
Quick question - can I travel by plane next month?,GREEN,en:can I travel by plane next month?
"As a kidney patient, blood is coming through my urine since this afternoon",RED,en:blood is coming through my urine {t}
"কিডনি রোগী হিসেবে বলছি, খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Good morning, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
"As a kidney patient, my legs are hugely swollen and now it's hard to lie flat for the last two days",RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে অজ্ঞান হয়ে গিয়েছিলাম",RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
"As a kidney patient, I'm having chest pain since this afternoon",RED,en:I'm having chest pain {t}
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে প্রস্রাবে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
What time is my dialysis session tomorrow?,GREEN,en:what time is my dialysis session tomorrow?
ভাত কতটুকু খাওয়া যাবে?,GREEN,bn:ভাত কতটুকু খাওয়া যাবে?
"আসসালামু আলাইকুম, দিনে কতটুকু লবণ খাওয়া নিরাপদ?",GREEN,bn:দিনে কতটুকু লবণ খাওয়া নিরাপদ?
"Good morning, I need to reschedule my appointment next week",GREEN,en:I need to reschedule my appointment next week
"Hello, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
"Please, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
"Since my kidney stone, I fainted for the last two days",RED,en:I fainted {t}
"Since my kidney stone, my urine looks foamy since last night",YELLOW,en:my urine looks foamy {t}
Quick question - I'd like to request a refill of my blood pressure medication,GREEN,en:I'd like to request a refill of my blood pressure medication
Blood is coming through my urine for a few days now,RED,en:blood is coming through my urine {t}
"Since my kidney stone, I have severe abdominal pain that won't go away since yesterday",RED,en:I have severe abdominal pain that won't go away {t}
গতকাল থেকে খিঁচুনি হয়েছে,RED,bn:{t}খিঁচুনি হয়েছে
I have CKD and my legs and ankles have been swelling since last night,YELLOW,en:my legs and ankles have been swelling {t}
"Since my kidney stone, I'm peeing much less than before for a few days now",YELLOW,en:I'm peeing much less than before {t}
I'm on dialysis and this is the worst headache I've ever had since this afternoon,RED,en:this is the worst headache I've ever had {t}
"দয়া করে জানাবেন, পরের ভিজিট কবে?",GREEN,bn:পরের ভিজিট কবে?
"Barely peeing today, should I be worried?",YELLOW,"en:barely peeing today, should I be worried?"
I have CKD and I passed out over the past week,RED,en:I passed out {t}
I'm on dialysis and I'm extremely drowsy and can barely stay awake for the last two days,RED,en:I'm extremely drowsy and can barely stay awake {t}
"Since my kidney stone, I've had a dull headache and feel a bit off this morning",YELLOW,en:I've had a dull headache and feel a bit off {t}
I had a kidney transplant last year and I haven't been going to the bathroom as much for a few days now,YELLOW,en:I haven't been going to the bathroom as much {t}
I have severe abdominal pain that won't go away since last night,RED,en:I have severe abdominal pain that won't go away {t}
Quick question - how long does a routine checkup usually take?,GREEN,en:how long does a routine checkup usually take?
My doctor said I have reduced kidney function and I have severe pain in my side with a high fever and shaking chills for a few days now,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
Quick question - what time is my dialysis session tomorrow?,GREEN,en:what time is my dialysis session tomorrow?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"আসসালামু আলাইকুম, পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই",GREEN,bn:পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই
"As a kidney patient, I have some discomfort around my kidneys for a few days now",YELLOW,en:I have some discomfort around my kidneys {t}
I have stage 3 kidney disease and I have a dull ache in my kidney area for the last two days,YELLOW,en:I have a dull ache in my kidney area {t}
Quick question - how do I update my address in your records?,GREEN,en:how do I update my address in your records?
I'm on dialysis and I'm peeing much less than before for the last two days,YELLOW,en:I'm peeing much less than before {t}
I'm on dialysis and my face looks puffy for a few days now,YELLOW,en:my face looks puffy {t}
My doctor said I have reduced kidney function and I can't breathe properly since yesterday,RED,en:I can't breathe properly {t}
"Good morning, should I take my phosphate binder before or after meals?",GREEN,en:should I take my phosphate binder before or after meals?
I have stage 3 kidney disease and I'm having chest pain for the last two days,RED,en:I'm having chest pain {t}
My side hurts near where my kidney is since yesterday,YELLOW,en:my side hurts near where my kidney is {t}
I have stage 3 kidney disease and I have some abdominal cramping since this afternoon,YELLOW,en:I have some abdominal cramping {t}
"Since my kidney stone, I've been really itchy all over for a few days now",YELLOW,en:I've been really itchy all over {t}
"As a kidney patient, I noticed blood in my urine since last night",RED,en:I noticed blood in my urine {t}
"Please, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
I'm on dialysis and I noticed blood in my urine this morning,RED,en:I noticed blood in my urine {t}
"Since my kidney stone, I've been urinating less than usual since last night",YELLOW,en:I've been urinating less than usual {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে মাথা ঘোরাচ্ছে",YELLOW,bn:{t}মাথা ঘোরাচ্ছে
"Since my kidney stone, I'm extremely drowsy and can barely stay awake over the past week",RED,en:I'm extremely drowsy and can barely stay awake {t}
I have CKD and my back is hurting near my kidneys over the past week,YELLOW,en:my back is hurting near my kidneys {t}
Quick question - can I eat tomatoes with my condition?,GREEN,en:can I eat tomatoes with my condition?
"Since my kidney stone, my eyes are puffy in the mornings for the last two days",YELLOW,en:my eyes are puffy in the mornings {t}
"As a kidney patient, I'm extremely drowsy and can barely stay awake for a few days now",RED,en:I'm extremely drowsy and can barely stay awake {t}
"Since my kidney stone, my stomach has been hurting a little since yesterday",YELLOW,en:my stomach has been hurting a little {t}
"আমি ডায়ালাইসিস নিচ্ছি, বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
My doctor said I have reduced kidney function and there's blood when I pee since this afternoon,RED,en:there's blood when I pee {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I have stage 3 kidney disease and there's a metallic taste in my mouth for the last two days,YELLOW,en:there's a metallic taste in my mouth {t}
কিডনির জায়গায় হালকা ব্যথা,YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
I have CKD and I've been vomiting blood since yesterday,RED,en:I've been vomiting blood {t}
"Good morning, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
"Good morning, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
I fainted over the past week,RED,en:I fainted {t}
I have some abdominal cramping over the past week,YELLOW,en:I have some abdominal cramping {t}
I had a kidney transplant last year and I'm having chest pain since yesterday,RED,en:I'm having chest pain {t}
"Hello, is the pharmacy open after 6 pm?",GREEN,en:is the pharmacy open after 6 pm?
"As a kidney patient, I've been sleeping badly and feel restless this morning",YELLOW,en:I've been sleeping badly and feel restless {t}
"As a kidney patient, my hands and feet feel swollen since last night",YELLOW,en:my hands and feet feel swollen {t}
"Hi, how long does a routine checkup usually take?",GREEN,en:how long does a routine checkup usually take?
I'm on dialysis and I'm going to the bathroom less often for a few days now,YELLOW,en:I'm going to the bathroom less often {t}
I had a kidney transplant last year and this is the worst headache I've ever had since last night,RED,en:this is the worst headache I've ever had {t}
I have stage 3 kidney disease and blood is coming through my urine since last night,RED,en:blood is coming through my urine {t}
I'm on dialysis and my side hurts near where my kidney is since yesterday,YELLOW,en:my side hurts near where my kidney is {t}
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills for the last two days,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"Please, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
"Good morning, can I pay my bill online?",GREEN,en:can I pay my bill online?
I had a kidney transplant last year and my stomach has been hurting a little this morning,YELLOW,en:my stomach has been hurting a little {t}
"Good morning, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
"Good morning, can I drink coffee on my dialysis days?",GREEN,en:can I drink coffee on my dialysis days?
"কিডনি রোগী হিসেবে বলছি, দম বন্ধ হয়ে আসছে",RED,bn:{t}দম বন্ধ হয়ে আসছে
"Hi, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
Quick question - can I pay my bill online?,GREEN,en:can I pay my bill online?
I'm on dialysis and I think I had a seizure since last night,RED,en:I think I had a seizure {t}
"Good morning, does the clinic open on weekends?",GREEN,en:does the clinic open on weekends?
I have CKD and I've had a headache on and off over the past week,YELLOW,en:I've had a headache on and off {t}
I'm extremely drowsy and can barely stay awake for a few days now,RED,en:I'm extremely drowsy and can barely stay awake {t}
I had a kidney transplant last year and my urine smells different than usual this morning,YELLOW,en:my urine smells different than usual {t}
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy this morning,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"As a kidney patient, my face looks puffy this morning",YELLOW,en:my face looks puffy {t}
"As a kidney patient, I've been throwing up nonstop and can't keep any water down for the last two days",RED,en:I've been throwing up nonstop and can't keep any water down {t}
"Please, can I drink coffee on my dialysis days?",GREEN,en:can I drink coffee on my dialysis days?
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
"As a kidney patient, my legs are hugely swollen and now it's hard to lie flat this morning",RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"As a kidney patient, my legs are hugely swollen and now it's hard to lie flat since last night",RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"আসসালামু আলাইকুম, ব্যায়াম করা কি আমার জন্য নিরাপদ?",GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
"As a kidney patient, my back is hurting near my kidneys since this afternoon",YELLOW,en:my back is hurting near my kidneys {t}
"Hi, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy over the past week,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
I feel dizzy when I stand up for the last two days,YELLOW,en:I feel dizzy when I stand up {t}
"Hello, is it normal to get an occasional mild headache?",GREEN,en:is it normal to get an occasional mild headache?
My doctor said I have reduced kidney function and I have a mild headache since yesterday,YELLOW,en:I have a mild headache {t}
Quick question - is it normal to get an occasional mild headache?,GREEN,en:is it normal to get an occasional mild headache?
I have stage 3 kidney disease and I have pain near my kidneys this morning,YELLOW,en:I have pain near my kidneys {t}
"Please, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
I'm on dialysis and my blood pressure has been higher than usual since last night,YELLOW,en:my blood pressure has been higher than usual {t}
Quick question - can I eat bananas on my current diet?,GREEN,en:can I eat bananas on my current diet?
My doctor said I have reduced kidney function and I've gained a few kilos for a few days now and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
This is the worst headache I've ever had since yesterday,RED,en:this is the worst headache I've ever had {t}
My doctor said I have reduced kidney function and my urine smells different than usual for the last two days,YELLOW,en:my urine smells different than usual {t}
গতকাল থেকে প্রস্রাবে রক্ত যাচ্ছে,RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
I have CKD and I'm going to the bathroom less often since yesterday,YELLOW,en:I'm going to the bathroom less often {t}
"As a kidney patient, I've had a headache on and off this morning",YELLOW,en:I've had a headache on and off {t}
I have stage 3 kidney disease and I've been vomiting blood since this afternoon,RED,en:I've been vomiting blood {t}
কাল রাত থেকে প্রস্রাবে রক্ত যাচ্ছে,RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
"Good morning, I'd like to request a refill of my blood pressure medication",GREEN,en:I'd like to request a refill of my blood pressure medication
I have CKD and I have some discomfort around my kidneys since last night,YELLOW,en:I have some discomfort around my kidneys {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
একটা প্রশ্ন ছিল - ক্লিনিক কি শুক্রবার খোলা থাকে?,GREEN,bn:ক্লিনিক কি শুক্রবার খোলা থাকে?
I have stage 3 kidney disease and I've had a dull headache and feel a bit off for a few days now,YELLOW,en:I've had a dull headache and feel a bit off {t}
"As a kidney patient, my abdominal pain is severe and I also have a high fever for the last two days",RED,en:my abdominal pain is severe and I also have a high fever {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
My doctor said I have reduced kidney function and I've been urinating less than usual for a few days now,YELLOW,en:I've been urinating less than usual {t}
I'm on dialysis and my abdominal pain is severe and I also have a high fever since yesterday,RED,en:my abdominal pain is severe and I also have a high fever {t}
Quick question - can you send me a copy of my prescription?,GREEN,en:can you send me a copy of my prescription?
I had a kidney transplant last year and I haven't been peeing much lately,YELLOW,en:I haven't been peeing much lately
"দয়া করে জানাবেন, ডায়ালাইসিসের সময় কখন?",GREEN,bn:ডায়ালাইসিসের সময় কখন?
I have stage 3 kidney disease and I've been vomiting blood since last night,RED,en:I've been vomiting blood {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
"Hi, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
"Please, what time is my dialysis session tomorrow?",GREEN,en:what time is my dialysis session tomorrow?
আজ সকাল থেকে কিডনির জায়গায় হালকা ব্যথা,YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
I have CKD and I have some abdominal cramping since yesterday,YELLOW,en:I have some abdominal cramping {t}
I have stage 3 kidney disease and I'm peeing much less than before since last night,YELLOW,en:I'm peeing much less than before {t}
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
"As a kidney patient, this is the worst headache I've ever had since last night",RED,en:this is the worst headache I've ever had {t}
I have stage 3 kidney disease and I have severe abdominal pain that won't go away over the past week,RED,en:I have severe abdominal pain that won't go away {t}
My doctor said I have reduced kidney function and my face looks puffy this morning,YELLOW,en:my face looks puffy {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে পায়ে খিল ধরছে",YELLOW,bn:{t}পায়ে খিল ধরছে
I'm having chest pain since yesterday,RED,en:I'm having chest pain {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
Can I travel by plane next month?,GREEN,en:can I travel by plane next month?
