text,label
I have stage 3 kidney disease and I've had muscle cramps for the last two days,YELLOW
I've been vomiting blood for a few days now,RED
I've gained a few kilos for the last two days and feel bloated,YELLOW
I have stage 3 kidney disease and my ankles leave a dent when I press them this morning,YELLOW
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy for the last two days,RED
I'm on dialysis and I'm going to the bathroom less often over the past week,YELLOW
"As a kidney patient, I haven't passed any urine since this afternoon",RED
Quick question - can I travel by plane next month?,GREEN
Quick question - can I reschedule my lab test to the morning?,GREEN
I had a kidney transplant last year and I think I had a seizure over the past week,RED
I have stage 3 kidney disease and I've been vomiting blood since last night,RED
Does the clinic open on weekends?,GREEN
"Hi, can I pay my bill online?",GREEN
My doctor said I have reduced kidney function and I've been throwing up nonstop and can't keep any water down since last night,RED
Should I take my phosphate binder before or after meals?,GREEN
"Hello, how much salt is safe for me per day?",GREEN
"Since my kidney stone, I noticed blood in my urine since yesterday",RED
My urine has turned dark like cola and I feel terrible for a few days now,RED
My doctor said I have reduced kidney function and my urine output seems lower than normal since last night,YELLOW
Can I drink coffee on my dialysis days?,GREEN
I'm on dialysis and I've been vomiting blood since yesterday,RED
Quick question - how do I sign up for the patient portal?,GREEN
My doctor said I have reduced kidney function and I've been urinating less than usual for a few days now,YELLOW
"Good morning, can I reschedule my lab test to the morning?",GREEN
"Since my kidney stone, I've been peeing blood over the past week",RED
I have stage 3 kidney disease and I can't breathe properly for the last two days,RED
I have CKD and I can't breathe properly since this afternoon,RED
"Good morning, can my family member pick up my medication?",GREEN
"Please, what time is my dialysis session tomorrow?",GREEN
Can I switch to an evening dialysis slot?,GREEN
I have no urine output over the past week,RED
My doctor said I have reduced kidney function and I haven't been going to the bathroom as much over the past week,YELLOW
"Since my kidney stone, I have no urine output since this afternoon",RED
I'm on dialysis and my heartbeat feels irregular and I'm very weak and dizzy for a few days now,RED
"As a kidney patient, I feel severely confused over the past week",RED
I had a kidney transplant last year and I've been short of breath over the past week,RED
"Hi, can I book an appointment for next Monday?",GREEN
Quick question - can my family member pick up my medication?,GREEN
My doctor said I have reduced kidney function and my hands and feet feel swollen over the past week,YELLOW
I've been urinating less than usual for the last two days,YELLOW
I have CKD and my legs are hugely swollen and now it's hard to lie flat over the past week,RED
"Since my kidney stone, I've been peeing blood for a few days now",RED
"Hello, can I travel by plane next month?",GREEN
Can I get my flu vaccination at the clinic?,GREEN
"As a kidney patient, I've had a dull headache and feel a bit off this morning",YELLOW
My blood pressure reads dangerously high with a pounding headache and blurry vision,RED
I have CKD and there's blood when I pee since yesterday,RED
Quick question - what time is my dialysis session tomorrow?,GREEN
I'm on dialysis and I noticed blood in my urine since this afternoon,RED
Quick question - which foods are high in potassium that I should avoid?,GREEN
Quick question - what should my daily water intake be?,GREEN
"Good morning, what time is my dialysis session tomorrow?",GREEN
I noticed blood in my urine since yesterday,RED
I have CKD and I've been urinating less than usual over the past week,YELLOW
"As a kidney patient, I've been peeing blood for the last two days",RED
I'm on dialysis and my legs and ankles have been swelling since last night,YELLOW
I'm on dialysis and my blood pressure has been higher than usual since yesterday,YELLOW
"Hello, I'd like to request a refill of my blood pressure medication",GREEN
"Hello, can I pay my bill online?",GREEN
My doctor said I have reduced kidney function and I've gained a few kilos since yesterday and feel bloated,YELLOW
"Good morning, is brown rice okay for my diet?",GREEN
I have stage 3 kidney disease and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED
"Hello, how do I update my address in your records?",GREEN
I have no urine output for the last two days,RED
My doctor said I have reduced kidney function and I've been urinating less than usual since this afternoon,YELLOW
"As a kidney patient, I noticed blood in my urine this morning",RED
I'm on dialysis and my back is hurting near my kidneys since yesterday,YELLOW
I had a kidney transplant last year and I've gained a few kilos over the past week and feel bloated,YELLOW
"Please, how much salt is safe for me per day?",GREEN
"As a kidney patient, hardly went to the bathroom today",YELLOW
"Good morning, is it fine to have yogurt on my diet?",GREEN
"Hello, which foods are high in potassium that I should avoid?",GREEN
"Good morning, how long does a routine checkup usually take?",GREEN
"As a kidney patient, I'm not urinating as much as I used to for a few days now",YELLOW
"Hello, is brown rice okay for my diet?",GREEN
"As a kidney patient, I've been urinating less than usual since yesterday",YELLOW
My doctor said I have reduced kidney function and I have pain near my kidneys since last night,YELLOW
I have CKD and I've been really itchy all over this morning,YELLOW
I have CKD and I'm peeing much less than before over the past week,YELLOW
I have pain near my kidneys for the last two days,YELLOW
My doctor said I have reduced kidney function and my hands and feet feel swollen for the last two days,YELLOW
I had a kidney transplant last year and my face looks puffy over the past week,YELLOW
I have stage 3 kidney disease and I'm going to the bathroom less often since yesterday,YELLOW
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED
"Hello, can I book an appointment for next Monday?",GREEN
I had a kidney transplant last year and I have some discomfort around my kidneys over the past week,YELLOW
Is it fine to have yogurt on my diet?,GREEN
I had a kidney transplant last year and I haven't been going to the bathroom as much since this afternoon,YELLOW
I'm on dialysis and I've been short of breath since this afternoon,RED
I have CKD and my hands and feet feel swollen since yesterday,YELLOW
"Hi, how many cups of fluid can I have daily?",GREEN
I've had trouble concentrating and feel foggy for the last two days,YELLOW
I have stage 3 kidney disease and I have a mild fever over the past week,YELLOW
I'm on dialysis and I've had trouble concentrating and feel foggy since this afternoon,YELLOW
My doctor said I have reduced kidney function and I've been sleeping badly and feel restless since yesterday,YELLOW
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills for the last two days,RED
I had a kidney transplant last year and I've been throwing up nonstop and can't keep any water down since yesterday,RED
"Hi, how do I sign up for the patient portal?",GREEN
"As a kidney patient, I have crushing pain spreading to my arm and jaw",RED
"Since my kidney stone, I have heavy bleeding that won't stop since last night",RED
I'm on dialysis and I passed out since this afternoon,RED
"Since my kidney stone, I've had trouble concentrating and feel foggy this morning",YELLOW
I have CKD and I have no urine output for a few days now,RED
"Hello, should I take my phosphate binder before or after meals?",GREEN
"Please, can I drink coffee on my dialysis days?",GREEN
"Please, can I eat bananas on my current diet?",GREEN
"Hello, are my last lab results available yet?",GREEN
"Hi, can I eat bananas on my current diet?",GREEN
I'm on dialysis and I can't catch my breath and my chest feels tight,RED
My doctor said I have reduced kidney function and I'm going to the bathroom less often for a few days now,YELLOW
I'm going to the bathroom less often over the past week,YELLOW
I've been urinating less than usual this morning,YELLOW
"As a kidney patient, I think I had a seizure for the last two days",RED
I have stage 3 kidney disease and my hands and feet feel swollen over the past week,YELLOW
I'm on dialysis and I have pain near my kidneys over the past week,YELLOW
"Hi, is it fine to have yogurt on my diet?",GREEN
"Please, is it safe for me to exercise at the gym?",GREEN
"Since my kidney stone, I'm going to the bathroom less often since yesterday",YELLOW
"Hi, which foods are high in potassium that I should avoid?",GREEN
"Please, is it okay to have oranges with my potassium levels?",GREEN
I have CKD and I think I had a seizure since last night,RED
"Good morning, I'd like to request a refill of my blood pressure medication",GREEN
I have CKD and my heartbeat feels irregular and I'm very weak and dizzy for a few days now,RED
I had a kidney transplant last year and my back is hurting near my kidneys over the past week,YELLOW
My doctor said I have reduced kidney function and my blood pressure has been higher than usual over the past week,YELLOW
I have CKD and I've been vomiting blood over the past week,RED
"Please, can I get my flu vaccination at the clinic?",GREEN
"Good morning, how much salt is safe for me per day?",GREEN
My doctor said I have reduced kidney function and I think I had a seizure this morning,RED
"Please, is there parking available at the clinic?",GREEN
I had a kidney transplant last year and I fainted since last night,RED
My urine output seems lower than normal since last night,YELLOW
Quick question - does the clinic open on weekends?,GREEN
Quick question - is it okay to have oranges with my potassium levels?,GREEN
I have CKD and I have heavy bleeding that won't stop since yesterday,RED
I have stage 3 kidney disease and I've been throwing up nonstop and can't keep any water down since yesterday,RED
My doctor said I have reduced kidney function and I'm not urinating as much as I used to since last night,YELLOW
"Hello, is the pharmacy open after 6 pm?",GREEN
"As a kidney patient, I think I had a seizure over the past week",RED
"Good morning, can I drink coffee on my dialysis days?",GREEN
"Please, do I need to fast before my blood test?",GREEN
I had a kidney transplant last year and I think I had a seizure for a few days now,RED
I had a kidney transplant last year and I've had muscle cramps this morning,YELLOW
"Since my kidney stone, I fainted since this afternoon",RED
"Since my kidney stone, I'm peeing much less than before this morning",YELLOW
Do I need to fast before my blood test?,GREEN
"As a kidney patient, my blood pressure reads dangerously high with a pounding headache and blurry vision",RED
I have heavy bleeding that won't stop since last night,RED
My doctor said I have reduced kidney function and I'm having chest pain this morning,RED
"Since my kidney stone, I've had trouble concentrating and feel foggy for a few days now",YELLOW
"Hello, can I get a medical certificate for work?",GREEN
I'm on dialysis and I have crushing pain spreading to my arm and jaw,RED
"Good morning, can I eat bananas on my current diet?",GREEN
I have stage 3 kidney disease and I'm extremely drowsy and can barely stay awake over the past week,RED
I'm on dialysis and I'm extremely drowsy and can barely stay awake this morning,RED
"Good morning, is it safe for me to exercise at the gym?",GREEN
"Hello, is there wheelchair access at the entrance?",GREEN
I had a kidney transplant last year and I feel severely confused since this afternoon,RED
"As a kidney patient, I feel nauseous and have lost my appetite this morning",YELLOW
I had a kidney transplant last year and I have a mild fever for the last two days,YELLOW
"Since my kidney stone, I have no urine output since last night",RED
"Please, can I reschedule my lab test to the morning?",GREEN
"Good morning, can you send me a copy of my prescription?",GREEN
I have CKD and my urine output seems lower than normal for the last two days,YELLOW
"Good morning, can I travel by plane next month?",GREEN
Quick question - I need to reschedule my appointment next week,GREEN
"Good morning, can I switch to an evening dialysis slot?",GREEN
"Hi, does the clinic open on weekends?",GREEN
"As a kidney patient, my heartbeat feels irregular and I'm very weak and dizzy since this afternoon",RED
My doctor said I have reduced kidney function and my blood pressure has been higher than usual this morning,YELLOW
"As a kidney patient, I fainted since last night",RED
"Hi, what time is my dialysis session tomorrow?",GREEN
I have stage 3 kidney disease and I feel nauseous and have lost my appetite since last night,YELLOW
I have CKD and I've been feeling very tired and weak this morning,YELLOW
"Hi, can my family member pick up my medication?",GREEN
Quick question - thank you for the help during my last visit,GREEN
"As a kidney patient, I have no urine output over the past week",RED
"As a kidney patient, I have a mild fever for a few days now",YELLOW
I have stage 3 kidney disease and I have heavy bleeding that won't stop for the last two days,RED
"Good morning, are my last lab results available yet?",GREEN
I have stage 3 kidney disease and my eyes are puffy in the mornings for a few days now,YELLOW
"Good morning, can I get a medical certificate for work?",GREEN
I'm on dialysis and my side hurts near where my kidney is this morning,YELLOW
"Since my kidney stone, I have severe pain in my side with a high fever and shaking chills since this afternoon",RED
I have CKD and there's a metallic taste in my mouth since last night,YELLOW
I have stage 3 kidney disease and I've been vomiting blood over the past week,RED
I'm on dialysis and I've been vomiting blood since this afternoon,RED
I have CKD and my blood pressure has been higher than usual since last night,YELLOW
"Since my kidney stone, I passed out since last night",RED
I had a kidney transplant last year and I've been urinating less than usual for a few days now,YELLOW
I'm on dialysis and there's blood when I pee over the past week,RED
Are my last lab results available yet?,GREEN
I have stage 3 kidney disease and my urination has decreased since last night,YELLOW
"Hello, should I bring my previous reports to the appointment?",GREEN
"Hello, how do I sign up for the patient portal?",GREEN
Quick question - can I book an appointment for next Monday?,GREEN
"Since my kidney stone, my heartbeat feels irregular and I'm very weak and dizzy for a few days now",RED
"Hello, can I get my flu vaccination at the clinic?",GREEN
Quick question - when is my next follow-up scheduled?,GREEN
My doctor said I have reduced kidney function and my urine looks foamy this morning,YELLOW
What documents do I need for my next visit?,GREEN
"Since my kidney stone, I think I had a seizure for a few days now",RED
My legs and ankles have been swelling for a few days now,YELLOW
I have CKD and I noticed blood in my urine over the past week,RED
I've been peeing blood since this afternoon,RED
My doctor said I have reduced kidney function and there's blood when I pee for the last two days,RED
I've gained a few kilos for a few days now and feel bloated,YELLOW
"Hi, can I take paracetamol for a mild headache?",GREEN
I've been sleeping badly and feel restless this morning,YELLOW
Quick question - can I pay my bill online?,GREEN
Quick question - can I eat tomatoes with my condition?,GREEN
"Hi, how much salt is safe for me per day?",GREEN
"Hello, thank you for the help during my last visit",GREEN
"Hello, is it okay to have oranges with my potassium levels?",GREEN
"Since my kidney stone, I feel severely confused since last night",RED
"As a kidney patient, I'm peeing much less than before for the last two days",YELLOW
I have some discomfort around my kidneys over the past week,YELLOW
"As a kidney patient, I have no urine output since this afternoon",RED
Quick question - is there parking available at the clinic?,GREEN
I'm having chest pain for a few days now,RED
"Hi, thank you for the help during my last visit",GREEN
"Hi, is the pharmacy open after 6 pm?",GREEN
I have CKD and I have severe pain in my side with a high fever and shaking chills for the last two days,RED
Can my family member pick up my medication?,GREEN
"Please, should I bring my previous reports to the appointment?",GREEN
I have stage 3 kidney disease and I've been really itchy all over since last night,YELLOW
Quick question - is there wheelchair access at the entrance?,GREEN
I have CKD and I've had a dull headache and feel a bit off for the last two days,YELLOW
"Please, can I switch to an evening dialysis slot?",GREEN
"Since my kidney stone, my back is hurting near my kidneys since last night",YELLOW
My doctor said I have reduced kidney function and my legs are hugely swollen and now it's hard to lie flat this morning,RED
"Please, can I eat tomatoes with my condition?",GREEN
My doctor said I have reduced kidney function and I've been peeing blood this morning,RED
"Good morning, what documents do I need for my next visit?",GREEN
I had a kidney transplant last year and blood is coming through my urine since last night,RED
I have stage 3 kidney disease and my ankles leave a dent when I press them over the past week,YELLOW
"As a kidney patient, I fainted since this afternoon",RED
"Please, how many cups of fluid can I have daily?",GREEN
My doctor said I have reduced kidney function and my side hurts near where my kidney is since yesterday,YELLOW
"Good morning, which foods are high in potassium that I should avoid?",GREEN
Quick question - is it safe for me to exercise at the gym?,GREEN
I'm on dialysis and there's blood when I pee for a few days now,RED
I'm on dialysis and my blood pressure has been higher than usual for the last two days,YELLOW
I had a kidney transplant last year and I have flank pain for the last two days,YELLOW
My back is hurting near my kidneys since last night,YELLOW
"Please, thank you for the help during my last visit",GREEN
"Good morning, can I pay my bill online?",GREEN
I have CKD and I've been short of breath over the past week,RED
I'm on dialysis and I'm peeing much less than before since this afternoon,YELLOW
Quick question - what documents do I need for my next visit?,GREEN
I have CKD and I have severe pain in my side with a high fever and shaking chills this morning,RED
"As a kidney patient, my legs and ankles have been swelling for a few days now",YELLOW
"Since my kidney stone, there's blood when I pee for the last two days",RED
"As a kidney patient, my eyes are puffy in the mornings over the past week",YELLOW
"Hello, can my family member pick up my medication?",GREEN
I have stage 3 kidney disease and I've been throwing up nonstop and can't keep any water down this morning,RED
Quick question - are my last lab results available yet?,GREEN
"Good morning, how do I update my address in your records?",GREEN
I've been vomiting blood since yesterday,RED
"As a kidney patient, I've been vomiting blood for a few days now",RED
My urine looks foamy over the past week,YELLOW
Quick question - can I eat bananas on my current diet?,GREEN
Quick question - can I drink coffee on my dialysis days?,GREEN
I have stage 3 kidney disease and hardly went to the bathroom today,YELLOW
"As a kidney patient, I'm having chest pain over the past week",RED
"Since my kidney stone, I have some discomfort around my kidneys since last night",YELLOW
"Hello, how many cups of fluid can I have daily?",GREEN
I have CKD and I've had trouble concentrating and feel foggy this morning,YELLOW
I had a kidney transplant last year and I haven't been going to the bathroom as much for a few days now,YELLOW
My blood pressure has been higher than usual since last night,YELLOW
"Good morning, can I get my flu vaccination at the clinic?",GREEN
My doctor said I have reduced kidney function and I feel severely confused this morning,RED
I have stage 3 kidney disease and I'm going to the bathroom less often for a few days now,YELLOW
Quick question - is brown rice okay for my diet?,GREEN
I have CKD and hardly went to the bathroom today,YELLOW
"Hi, do I need to fast before my blood test?",GREEN
"Hello, is there parking available at the clinic?",GREEN
I have stage 3 kidney disease and I've gained a few kilos since last night and feel bloated,YELLOW
"Since my kidney stone, not peeing much lately, is that normal?",YELLOW
"Please, when is my next follow-up scheduled?",GREEN
I have stage 3 kidney disease and I noticed blood in my urine over the past week,RED
I have CKD and I'm peeing much less than before for the last two days,YELLOW
My doctor said I have reduced kidney function and blood is coming through my urine over the past week,RED
I'm on dialysis and I've been urinating less than usual since yesterday,YELLOW
My doctor said I have reduced kidney function and my urine looks foamy for a few days now,YELLOW
Quick question - how do I update my address in your records?,GREEN
Quick question - is the pharmacy open after 6 pm?,GREEN
My doctor said I have reduced kidney function and I've gained a few kilos this morning and feel bloated,YELLOW
My doctor said I have reduced kidney function and I've been really itchy all over since last night,YELLOW
I'd like to request a refill of my blood pressure medication,GREEN
I have CKD and my legs and ankles have been swelling this morning,YELLOW
"Since my kidney stone, I feel dizzy when I stand up since last night",YELLOW
"Please, how do I sign up for the patient portal?",GREEN
My doctor said I have reduced kidney function and I have severe pain in my side with a high fever and shaking chills over the past week,RED
"Since my kidney stone, my urination has decreased since yesterday",YELLOW
I'm on dialysis and I've been short of breath this morning,RED
I have stage 3 kidney disease and there's blood when I pee over the past week,RED
I had a kidney transplant last year and blood is coming through my urine for the last two days,RED
I have stage 3 kidney disease and there's blood when I pee for the last two days,RED
I had a kidney transplant last year and I haven't passed any urine this morning,RED
My doctor said I have reduced kidney function and I have pain near my kidneys for the last two days,YELLOW
I've been feeling very tired and weak since yesterday,YELLOW
My doctor said I have reduced kidney function and my urine has turned dark like cola and I feel terrible for the last two days,RED
I have CKD and I feel dizzy when I stand up this morning,YELLOW
I've been short of breath for a few days now,RED
I have CKD and I noticed blood in my urine since last night,RED
"Since my kidney stone, there's a metallic taste in my mouth for a few days now",YELLOW
"Good morning, is it okay to have oranges with my potassium levels?",GREEN
What time is my dialysis session tomorrow?,GREEN
I had a kidney transplant last year and I feel nauseous and have lost my appetite this morning,YELLOW
I'm on dialysis and my ankles leave a dent when I press them since this afternoon,YELLOW
I'm on dialysis and I have a mild fever since last night,YELLOW
"Since my kidney stone, I've had a dull headache and feel a bit off since this afternoon",YELLOW
"Since my kidney stone, I passed out this morning",RED
I had a kidney transplant last year and I've had trouble concentrating and feel foggy since last night,YELLOW
"As a kidney patient, I have pain near my kidneys since yesterday",YELLOW
I have CKD and I'm peeing much less than before since last night,YELLOW
My doctor said I have reduced kidney function and I'm peeing much less than before for a few days now,YELLOW
Quick question - can I take paracetamol for a mild headache?,GREEN
I have CKD and I have crushing pain spreading to my arm and jaw,RED
I've been feeling very tired and weak over the past week,YELLOW
