text,label
I had a kidney transplant last year and my stomach has been hurting a little since yesterday,YELLOW
"As a kidney patient, I'm having chest pain this morning",RED
"As a kidney patient, I've been vomiting blood since yesterday",RED
I have stage 3 kidney disease and I've been urinating less than usual this morning,YELLOW
My blood pressure reads dangerously high with a pounding headache and blurry vision,RED
"Since my kidney stone, I've had muscle cramps since yesterday",YELLOW
Can I eat bananas on my current diet?,GREEN
"Hi, can I reschedule my lab test to the morning?",GREEN
Should I bring my previous reports to the appointment?,GREEN
"Good morning, I need to reschedule my appointment next week",GREEN
"As a kidney patient, I have no urine output since last night",RED
"Hi, how much salt is safe for me per day?",GREEN
I'm on dialysis and I've been vomiting blood since yesterday,RED
"As a kidney patient, my back is hurting near my kidneys since yesterday",YELLOW
I have CKD and I've been vomiting blood for a few days now,RED
"Hi, how many cups of fluid can I have daily?",GREEN
"Hi, what documents do I need for my next visit?",GREEN
I have stage 3 kidney disease and I noticed blood in my urine since last night,RED
I have stage 3 kidney disease and I feel nauseous and have lost my appetite over the past week,YELLOW
"As a kidney patient, my heartbeat feels irregular and I'm very weak and dizzy for a few days now",RED
I had a kidney transplant last year and I can't breathe properly since yesterday,RED
I'm on dialysis and my legs and ankles have been swelling for the last two days,YELLOW
I can't breathe properly since last night,RED
I have CKD and I fainted since yesterday,RED
"Good morning, can I drink coffee on my dialysis days?",GREEN
I'm on dialysis and I have flank pain for the last two days,YELLOW
My eyes are puffy in the mornings this morning,YELLOW
I'm on dialysis and I've noticed a strange odor in my urine for a few days now,YELLOW
I have stage 3 kidney disease and my face looks puffy this morning,YELLOW
I had a kidney transplant last year and there's blood when I pee this morning,RED
I had a kidney transplant last year and I have a mild fever since yesterday,YELLOW
I'm on dialysis and I noticed blood in my urine for the last two days,RED
"As a kidney patient, my urine has turned dark like cola and I feel terrible for the last two days",RED
"Hello, is there parking available at the clinic?",GREEN
"Since my kidney stone, I feel dizzy when I stand up for a few days now",YELLOW
"Since my kidney stone, I have no urine output for a few days now",RED
"As a kidney patient, I've been short of breath this morning",RED
"As a kidney patient, blood is coming through my urine since this afternoon",RED
"Hi, I need to reschedule my appointment next week",GREEN
"Since my kidney stone, I have mild abdominal discomfort for a few days now",YELLOW
"As a kidney patient, my urine looks foamy over the past week",YELLOW
I had a kidney transplant last year and my whole body is swelling and I feel like I'm drowning when I lie down,RED
Can I pay my bill online?,GREEN
"Good morning, what documents do I need for my next visit?",GREEN
"Please, how much salt is safe for me per day?",GREEN
I'm on dialysis and I haven't passed any urine since this afternoon,RED
I had a kidney transplant last year and my back is hurting near my kidneys for a few days now,YELLOW
Quick question - does the clinic open on weekends?,GREEN
I'm on dialysis and I'm not urinating as much as I used to for a few days now,YELLOW
"Hi, do I need to fast before my blood test?",GREEN
"As a kidney patient, I have severe abdominal pain that won't go away for a few days now",RED
I have CKD and I'm having chest pain since last night,RED
"Good morning, how do I sign up for the patient portal?",GREEN
"Good morning, thank you for the help during my last visit",GREEN
My doctor said I have reduced kidney function and I've been vomiting blood over the past week,RED
My doctor said I have reduced kidney function and I've been throwing up nonstop and can't keep any water down this morning,RED
I have stage 3 kidney disease and my urine looks foamy for a few days now,YELLOW
I'm on dialysis and my blood pressure has been higher than usual since this afternoon,YELLOW
I feel dizzy when I stand up since yesterday,YELLOW
I'm on dialysis and my urine has turned dark like cola and I feel terrible over the past week,RED
I had a kidney transplant last year and I'm extremely drowsy and can barely stay awake over the past week,RED
"Hello, is it okay to have oranges with my potassium levels?",GREEN
"I get a mild headache sometimes, is that anything to worry about?",GREEN
"Quick question - I have a mild stomach ache after eating spicy food, is that normal?",GREEN
"Please, can I drink coffee on my dialysis days?",GREEN
My doctor said I have reduced kidney function and I have severe pain in my side with a high fever and shaking chills for a few days now,RED
"Since my kidney stone, I've been vomiting blood this morning",RED
"As a kidney patient, I've been vomiting blood since this afternoon",RED
"Hello, should I take my phosphate binder before or after meals?",GREEN
"Since my kidney stone, my back is hurting near my kidneys since yesterday",YELLOW
I think I had a seizure since last night,RED
My doctor said I have reduced kidney function and I have some discomfort around my kidneys since this afternoon,YELLOW
"Since my kidney stone, I have a mild fever over the past week",YELLOW
"As a kidney patient, I've been short of breath for a few days now",RED
I have stage 3 kidney disease and I have severe abdominal pain that won't go away over the past week,RED
"As a kidney patient, I feel severely confused this morning",RED
I had a kidney transplant last year and my side hurts near where my kidney is this morning,YELLOW
"Since my kidney stone, there's a metallic taste in my mouth since yesterday",YELLOW
"Hello, is it fine to have yogurt on my diet?",GREEN
"Since my kidney stone, I'm peeing much less than before since last night",YELLOW
"Hello, I need to reschedule my appointment next week",GREEN
"As a kidney patient, I've been short of breath since yesterday",RED
"I have stage 3 kidney disease and I have a sudden severe headache, the worst one of my life this morning",RED
Quick question - how much salt is safe for me per day?,GREEN
"Hi, what should my daily water intake be?",GREEN
"Hi, is it okay to have oranges with my potassium levels?",GREEN
"Good morning, how much salt is safe for me per day?",GREEN
What documents do I need for my next visit?,GREEN
How long does a routine checkup usually take?,GREEN
Quick question - is there wheelchair access at the entrance?,GREEN
"Since my kidney stone, I have mild abdominal discomfort for the last two days",YELLOW
My doctor said I have reduced kidney function and my legs and ankles have been swelling for the last two days,YELLOW
"As a kidney patient, I fainted since last night",RED
Quick question - can my family member pick up my medication?,GREEN
"Hello, is there wheelchair access at the entrance?",GREEN
"Hello, what time is my dialysis session tomorrow?",GREEN
I noticed blood in my urine for the last two days,RED
My urine looks foamy since this afternoon,YELLOW
"Please, what should my daily water intake be?",GREEN
"Please, is it okay to have oranges with my potassium levels?",GREEN
"As a kidney patient, I have a headache for a few days now",YELLOW
I have stage 3 kidney disease and there's blood in my urine and it won't stop,RED
"Good morning, is it fine to have yogurt on my diet?",GREEN
"Please, should I bring my previous reports to the appointment?",GREEN
I have CKD and I have some abdominal cramping this morning,YELLOW
My urine smells different than usual for a few days now,YELLOW
I have CKD and blood is coming through my urine since last night,RED
I can't breathe properly for a few days now,RED
Quick question - is it fine to have yogurt on my diet?,GREEN
"Good morning, which foods are high in potassium that I should avoid?",GREEN
"Since my kidney stone, I'm having chest pain over the past week",RED
I'm on dialysis and I've been peeing blood this morning,RED
I'm on dialysis and I'm extremely drowsy and can barely stay awake for a few days now,RED
"Good morning, is brown rice okay for my diet?",GREEN
"Since my kidney stone, I've had muscle cramps since last night",YELLOW
Thank you for the help during my last visit,GREEN
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy since this afternoon,RED
My doctor said I have reduced kidney function and I've had a headache on and off this morning,YELLOW
I had a kidney transplant last year and this is the worst headache I've ever had for a few days now,RED
I'm on dialysis and I'm having chest pain this morning,RED
My doctor said I have reduced kidney function and I have flank pain since this afternoon,YELLOW
I'm on dialysis and my abdominal pain is severe and I also have a high fever since yesterday,RED
I have stage 3 kidney disease and I have a mild fever since this afternoon,YELLOW
I have CKD and my hands and feet feel swollen for a few days now,YELLOW
"Please, can I take paracetamol for a mild headache?",GREEN
I have CKD and I haven't been going to the bathroom as much since yesterday,YELLOW
I have CKD and I haven't been going to the bathroom as much for a few days now,YELLOW
I'm on dialysis and my hands and feet feel swollen this morning,YELLOW
Quick question - can you send me a copy of my prescription?,GREEN
I have CKD and my urine output seems lower than normal since yesterday,YELLOW
"As a kidney patient, my eyes are puffy in the mornings since yesterday",YELLOW
My doctor said I have reduced kidney function and I've had trouble concentrating and feel foggy for a few days now,YELLOW
I have CKD and I have some abdominal cramping over the past week,YELLOW
"Since my kidney stone, this is the worst headache I've ever had since yesterday",RED
Quick question - can I take paracetamol for a mild headache?,GREEN
"Hello, can I book an appointment for next Monday?",GREEN
Quick question - is brown rice okay for my diet?,GREEN
I have no urine output since this afternoon,RED
I have CKD and I fainted since last night,RED
I have CKD and I noticed blood in my urine for a few days now,RED
I'm on dialysis and there's blood when I pee this morning,RED
"Hello, should I bring my previous reports to the appointment?",GREEN
"Please, do I need to fast before my blood test?",GREEN
I have stage 3 kidney disease and I passed out for a few days now,RED
Quick question - can I reschedule my lab test to the morning?,GREEN
"Hi, I get a mild headache sometimes, is that anything to worry about?",GREEN
"Hi, is brown rice okay for my diet?",GREEN
Quick question - what should my daily water intake be?,GREEN
I had a kidney transplant last year and I'm going to the bathroom less often over the past week,YELLOW
"Good morning, what time is my dialysis session tomorrow?",GREEN
Can I reschedule my lab test to the morning?,GREEN
I have stage 3 kidney disease and I have some abdominal cramping since this afternoon,YELLOW
Quick question - can I get my flu vaccination at the clinic?,GREEN
I'm on dialysis and this is the worst headache I've ever had over the past week,RED
I have CKD and my ankles leave a dent when I press them for a few days now,YELLOW
"As a kidney patient, I have a mild fever this morning",YELLOW
"As a kidney patient, I feel nauseous and have lost my appetite since this afternoon",YELLOW
I had a kidney transplant last year and my urine looks foamy for the last two days,YELLOW
"Hi, can I switch to an evening dialysis slot?",GREEN
"Hi, can I get my flu vaccination at the clinic?",GREEN
I have severe pain in my side with a high fever and shaking chills since yesterday,RED
My doctor said I have reduced kidney function and blood is coming through my urine over the past week,RED
I'm on dialysis and I've gained a few kilos since this afternoon and feel bloated,YELLOW
"Since my kidney stone, blood is coming through my urine over the past week",RED
"Please, how long does a routine checkup usually take?",GREEN
I'm on dialysis and I fainted for a few days now,RED
"Please, is it fine to have yogurt on my diet?",GREEN
My urine has an unusual smell this morning,YELLOW
My doctor said I have reduced kidney function and my back is hurting near my kidneys this morning,YELLOW
"Hi, is it normal to get an occasional mild headache?",GREEN
"Since my kidney stone, I have a dull ache in my kidney area since last night",YELLOW
I have CKD and I can't catch my breath and my chest feels tight,RED
My stomach has been hurting a little this morning,YELLOW
"Hello, is it safe for me to exercise at the gym?",GREEN
I have CKD and I fainted since this afternoon,RED
I had a kidney transplant last year and I've had a headache on and off for a few days now,YELLOW
My doctor said I have reduced kidney function and my urine looks foamy since this afternoon,YELLOW
I had a kidney transplant last year and I have pain near my kidneys since this afternoon,YELLOW
"Good morning, should I take my phosphate binder before or after meals?",GREEN
"As a kidney patient, I feel severely confused for a few days now",RED
My doctor said I have reduced kidney function and my side hurts near where my kidney is this morning,YELLOW
I have no urine output for the last two days,RED
I have CKD and my side hurts near where my kidney is for the last two days,YELLOW
"Hi, can I get a medical certificate for work?",GREEN
Quick question - can I eat bananas on my current diet?,GREEN
I have CKD and I fainted for a few days now,RED
"Hi, are my last lab results available yet?",GREEN
My doctor said I have reduced kidney function and there's blood when I pee since this afternoon,RED
"Please, can I pay my bill online?",GREEN
I had a kidney transplant last year and there's a metallic taste in my mouth over the past week,YELLOW
I have CKD and I haven't passed any urine for the last two days,RED
"Good morning, does the clinic open on weekends?",GREEN
Quick question - should I bring my previous reports to the appointment?,GREEN
I had a kidney transplant last year and my hands and feet feel swollen this morning,YELLOW
I have severe pain in my side with a high fever and shaking chills for the last two days,RED
I have stage 3 kidney disease and I have heavy bleeding that won't stop since this afternoon,RED
I have CKD and I have a dull ache in my kidney area this morning,YELLOW
"Please, how many cups of fluid can I have daily?",GREEN
Quick question - can I get a medical certificate for work?,GREEN
"Please, how do I sign up for the patient portal?",GREEN
"Hi, what time is my dialysis session tomorrow?",GREEN
I have stage 3 kidney disease and I feel nauseous and have lost my appetite since yesterday,YELLOW
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat since last night,RED
My doctor said I have reduced kidney function and I can't breathe properly since this afternoon,RED
"Hello, can I get my flu vaccination at the clinic?",GREEN
I'm peeing much less than before since last night,YELLOW
My doctor said I have reduced kidney function and my back is hurting near my kidneys since yesterday,YELLOW
I feel severely confused since yesterday,RED
"Hi, is a bit of an upset stomach after meals normal for my condition?",GREEN
"Hi, thank you for the help during my last visit",GREEN
"Please, I have a mild stomach ache after eating spicy food, is that normal?",GREEN
"Hello, what documents do I need for my next visit?",GREEN
"Hello, is it normal to get an occasional mild headache?",GREEN
My hands and feet feel swollen for the last two days,YELLOW
I'm on dialysis and I have heavy bleeding that won't stop for a few days now,RED
Quick question - can I pay my bill online?,GREEN
"Hi, is there wheelchair access at the entrance?",GREEN
Quick question - can I drink coffee on my dialysis days?,GREEN
My legs are hugely swollen and now it's hard to lie flat since this afternoon,RED
I had a kidney transplant last year and this is the worst headache I've ever had since this afternoon,RED
"Good morning, can I eat bananas on my current diet?",GREEN
I had a kidney transplant last year and there's blood in my urine and it won't stop,RED
"Since my kidney stone, my urine output seems lower than normal for the last two days",YELLOW
"Hi, can I take paracetamol for a mild headache?",GREEN
"Hi, can I pay my bill online?",GREEN
I have CKD and my urine has turned dark like cola and I feel terrible for the last two days,RED
I had a kidney transplant last year and I fainted since last night,RED
My doctor said I have reduced kidney function and I've been vomiting blood for the last two days,RED
"Good morning, how long does a routine checkup usually take?",GREEN
My doctor said I have reduced kidney function and I passed out this morning,RED
I'm on dialysis and I've been vomiting blood since last night,RED
I have CKD and I'm having chest pain for the last two days,RED
"Since my kidney stone, I've been feeling very tired and weak since last night",YELLOW
"As a kidney patient, I have severe pain in my side with a high fever and shaking chills since yesterday",RED
I had a kidney transplant last year and my urine has turned dark like cola and I feel terrible for a few days now,RED
Quick question - can I switch to an evening dialysis slot?,GREEN
"Since my kidney stone, I've been peeing blood since last night",RED
I have stage 3 kidney disease and this is the worst headache I've ever had over the past week,RED
I have stage 3 kidney disease and I'm having chest pain over the past week,RED
"Please, can I get my flu vaccination at the clinic?",GREEN
When is my next follow-up scheduled?,GREEN
I have CKD and my hands and feet feel swollen since last night,YELLOW
Which foods are high in potassium that I should avoid?,GREEN
"Please, should I take my phosphate binder before or after meals?",GREEN
I'm on dialysis and there's blood when I pee since this afternoon,RED
"Since my kidney stone, my legs are hugely swollen and now it's hard to lie flat for a few days now",RED
I've been urinating less than usual this morning,YELLOW
"Hello, when is my next follow-up scheduled?",GREEN
I have a dull ache in my kidney area for a few days now,YELLOW
I have stage 3 kidney disease and my legs and ankles have been swelling since last night,YELLOW
"Since my kidney stone, I've had a headache on and off this morning",YELLOW
"Good morning, can I book an appointment for next Monday?",GREEN
Quick question - is there parking available at the clinic?,GREEN
My doctor said I have reduced kidney function and blood is coming through my urine since this afternoon,RED
I'm on dialysis and I've had a headache on and off this morning,YELLOW
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat for a few days now,RED
Is a bit of an upset stomach after meals normal for my condition?,GREEN
I had a kidney transplant last year and I've been peeing blood this morning,RED
Quick question - are my last lab results available yet?,GREEN
"As a kidney patient, I have mild abdominal discomfort this morning",YELLOW
Blood is coming through my urine for the last two days,RED
What time is my dialysis session tomorrow?,GREEN
"Good morning, is there wheelchair access at the entrance?",GREEN
Quick question - how long does a routine checkup usually take?,GREEN
"Hello, can I travel by plane next month?",GREEN
"As a kidney patient, my face looks puffy this morning",YELLOW
My doctor said I have reduced kidney function and my abdominal pain is severe and I also have a high fever since last night,RED
Is it safe for me to exercise at the gym?,GREEN
